format,count
http://publications.europa.eu/resource/authority/file-type/WCS,10
zip:dxf,3
zip:csv,1
postscript,1
ESRI Hub,2
"HTML, PDF",2
XML,124
http://publications.europa.eu/resource/authority/file-type/WFS_SRVC,353
http://publications.europa.eu/mdr/resource/authority/file-type/GZIP,39
http://publications.europa.eu/resource/authority/file-type/GEOJSON,20
Geodatabase,16
zip:pdf,3
TIFF,2
download,1073
application/x-php,1
ESRI Shp,11
"über WMS, ATOMFeed, WFS verfügbar",13
wfs,136
"XLSX, CSV",1
kmz,176
http://publications.europa.eu/resource/authority/file-type/WMS,193
link,3
RTF,12
,120200
